project_id,project_name,project_text,explicit_skills,extracted_skills,required_skills,required_skill_count
proj_0048,EV Battery Thermal Management System,EV Battery Thermal Management System. Liquid cooling plate design evaluated using computational fluid dynamics.. Role: CAD Engineer.,"[""CFD"", ""Fusion 360"", ""Heat Transfer"", ""Thermodynamics""]","[""Computational Fluid Dynamics""]","[""CFD"", ""Computational Fluid Dynamics"", ""Fusion 360"", ""Heat Transfer"", ""Thermodynamics""]",5
proj_0049,Sustainable Campus Stormwater Network,Sustainable Campus Stormwater Network. Hydrological runoff model and underground retention reservoir plan.. Role: Structural Engineer.,"[""AutoCAD Civil 3D"", ""GIS"", ""Hydrology""]",[],"[""AutoCAD Civil 3D"", ""GIS"", ""Hydrology""]",3
proj_0050,Seismic Resilient High-Rise Frame,Seismic Resilient High-Rise Frame. 30-story structural concrete core modeled under dynamic earthquake loading.. Role: Structural Engineer.,"[""ETABS"", ""STAAD Pro"", ""Structural Analysis""]",[],"[""ETABS"", ""STAAD Pro"", ""Structural Analysis""]",3
proj_0051,Prefabricated Modular Housing BIM Model,Prefabricated Modular Housing BIM Model. Fully parametric building information model for rapid disaster shelter deployment.. Role: Structural Engineer.,"[""BIM (Building Information Modeling)"", ""Revit"", ""SAP2000""]","[""BIM""]","[""BIM"", ""BIM (Building Information Modeling)"", ""Revit"", ""SAP2000""]",4
proj_0052,Sustainable Campus Stormwater Network,Sustainable Campus Stormwater Network. Hydrological runoff model and underground retention reservoir plan.. Role: Structural Engineer.,"[""AutoCAD Civil 3D"", ""GIS"", ""Hydrology""]",[],"[""AutoCAD Civil 3D"", ""GIS"", ""Hydrology""]",3
proj_0053,Seismic Resilient High-Rise Frame,Seismic Resilient High-Rise Frame. 30-story structural concrete core modeled under dynamic earthquake loading.. Role: Structural Engineer.,"[""ETABS"", ""STAAD Pro"", ""Structural Analysis""]",[],"[""ETABS"", ""STAAD Pro"", ""Structural Analysis""]",3
proj_0054,Quadruped Bio-Inspired Leg Actuator,Quadruped Bio-Inspired Leg Actuator. Custom torque-dense actuator module built for mobile legged platforms.. Role: Mechatronics Engineer.,"[""Embedded C"", ""MATLAB"", ""PCB Design"", ""SolidWorks""]",[],"[""Embedded C"", ""MATLAB"", ""PCB Design"", ""SolidWorks""]",4
proj_0055,Autonomous Sorting Robotic Arm,Autonomous Sorting Robotic Arm. 5-DOF robotic manipulator sorting warehouse items via computer vision.. Role: Mechatronics Engineer.,"[""Arduino"", ""OpenCV"", ""ROS2"", ""SolidWorks""]","[""Computer Vision""]","[""Arduino"", ""Computer Vision"", ""OpenCV"", ""ROS2"", ""SolidWorks""]",5
proj_0056,Quadruped Bio-Inspired Leg Actuator,Quadruped Bio-Inspired Leg Actuator. Custom torque-dense actuator module built for mobile legged platforms.. Role: Mechatronics Engineer.,"[""Embedded C"", ""MATLAB"", ""PCB Design"", ""SolidWorks""]",[],"[""Embedded C"", ""MATLAB"", ""PCB Design"", ""SolidWorks""]",4
proj_0057,Automated CNC Tool Ingestion Loader,Automated CNC Tool Ingestion Loader. Pneumatic pick-and-place gantry with encoder feedback.. Role: Mechatronics Engineer.,"[""Mechatronics Design"", ""PLC"", ""Sensors""]",[],"[""Mechatronics Design"", ""PLC"", ""Sensors""]",3
proj_0058,Autonomous Sorting Robotic Arm,Autonomous Sorting Robotic Arm. 5-DOF robotic manipulator sorting warehouse items via computer vision.. Role: Mechatronics Engineer.,"[""Arduino"", ""OpenCV"", ""ROS2"", ""SolidWorks""]","[""Computer Vision""]","[""Arduino"", ""Computer Vision"", ""OpenCV"", ""ROS2"", ""SolidWorks""]",5
proj_0059,Autonomous Sorting Robotic Arm,Autonomous Sorting Robotic Arm. 5-DOF robotic manipulator sorting warehouse items via computer vision.. Role: Mechatronics Engineer.,"[""Arduino"", ""OpenCV"", ""ROS2"", ""SolidWorks""]","[""Computer Vision""]","[""Arduino"", ""Computer Vision"", ""OpenCV"", ""ROS2"", ""SolidWorks""]",5
proj_0060,Automated CNC Tool Ingestion Loader,Automated CNC Tool Ingestion Loader. Pneumatic pick-and-place gantry with encoder feedback.. Role: Mechatronics Engineer.,"[""Mechatronics Design"", ""PLC"", ""Sensors""]",[],"[""Mechatronics Design"", ""PLC"", ""Sensors""]",3
proj_0061,Quadruped Bio-Inspired Leg Actuator,Quadruped Bio-Inspired Leg Actuator. Custom torque-dense actuator module built for mobile legged platforms.. Role: Mechatronics Engineer.,"[""Embedded C"", ""MATLAB"", ""PCB Design"", ""SolidWorks""]",[],"[""Embedded C"", ""MATLAB"", ""PCB Design"", ""SolidWorks""]",4
proj_0062,Autonomous Warehouse AM Rover,Autonomous Warehouse AM Rover. Differential drive robot executing SLAM mapping and dynamic obstacle avoidance.. Role: Robotics Engineer.,"[""Gazebo"", ""Python"", ""ROS"", ""ROS2"", ""SLAM""]","[""Obstacle Avoidance"", ""Robotics Engineer"", ""SLAM""]","[""Gazebo"", ""Obstacle Avoidance"", ""Python"", ""ROS"", ""ROS2"", ""Robotics Engineer"", ""SLAM""]",7
proj_0063,Visual Inertial Drone Odometry,Visual Inertial Drone Odometry. Monocular camera and IMU sensor fusion suite for GPS-denied environments.. Role: Robotics Engineer.,"[""Autonomous Navigation"", ""C++"", ""OpenCV"", ""Sensor Fusion""]","[""Robotics Engineer"", ""Sensor Fusion""]","[""Autonomous Navigation"", ""C++"", ""OpenCV"", ""Robotics Engineer"", ""Sensor Fusion""]",5
proj_0064,Subterranean Inspection Crawler,Subterranean Inspection Crawler. Rugged tracked platform exploring hazardous pipes autonomously.. Role: Robotics Engineer.,"[""Gazebo"", ""Motion Planning"", ""ROS2""]","[""Robotics Engineer""]","[""Gazebo"", ""Motion Planning"", ""ROS2"", ""Robotics Engineer""]",4
proj_0065,Visual Inertial Drone Odometry,Visual Inertial Drone Odometry. Monocular camera and IMU sensor fusion suite for GPS-denied environments.. Role: Robotics Engineer.,"[""Autonomous Navigation"", ""C++"", ""OpenCV"", ""Sensor Fusion""]","[""Robotics Engineer"", ""Sensor Fusion""]","[""Autonomous Navigation"", ""C++"", ""OpenCV"", ""Robotics Engineer"", ""Sensor Fusion""]",5
proj_0066,Subterranean Inspection Crawler,Subterranean Inspection Crawler. Rugged tracked platform exploring hazardous pipes autonomously.. Role: Robotics Engineer.,"[""Gazebo"", ""Motion Planning"", ""ROS2""]","[""Robotics Engineer""]","[""Gazebo"", ""Motion Planning"", ""ROS2"", ""Robotics Engineer""]",4
proj_0067,Autonomous Warehouse AM Rover,Autonomous Warehouse AM Rover. Differential drive robot executing SLAM mapping and dynamic obstacle avoidance.. Role: Robotics Engineer.,"[""Gazebo"", ""Python"", ""ROS"", ""ROS2"", ""SLAM""]","[""Obstacle Avoidance"", ""Robotics Engineer"", ""SLAM""]","[""Gazebo"", ""Obstacle Avoidance"", ""Python"", ""ROS"", ""ROS2"", ""Robotics Engineer"", ""SLAM""]",7
proj_0068,Active Aerodynamic Wing Actuator,Active Aerodynamic Wing Actuator. Speed-sensitive rear wing controller lowering high-speed drag.. Role: Automotive & EV Engineer.,"[""ANSYS"", ""Arduino"", ""CAN Bus"", ""CFD""]",[],"[""ANSYS"", ""Arduino"", ""CAN Bus"", ""CFD""]",4
proj_0069,Regenerative Braking Power Recuperator,Regenerative Braking Power Recuperator. KERS energy recovery simulation for urban electric buses.. Role: Automotive & EV Engineer.,"[""Battery Management"", ""MATLAB"", ""Simulink""]",[],"[""Battery Management"", ""MATLAB"", ""Simulink""]",3
proj_0070,Active Aerodynamic Wing Actuator,Active Aerodynamic Wing Actuator. Speed-sensitive rear wing controller lowering high-speed drag.. Role: Automotive & EV Engineer.,"[""ANSYS"", ""Arduino"", ""CAN Bus"", ""CFD""]",[],"[""ANSYS"", ""Arduino"", ""CAN Bus"", ""CFD""]",4
proj_0071,Active Aerodynamic Wing Actuator,Active Aerodynamic Wing Actuator. Speed-sensitive rear wing controller lowering high-speed drag.. Role: Automotive & EV Engineer.,"[""ANSYS"", ""Arduino"", ""CAN Bus"", ""CFD""]",[],"[""ANSYS"", ""Arduino"", ""CAN Bus"", ""CFD""]",4
proj_0072,Sub-Compact EV Drivetrain Model,Sub-Compact EV Drivetrain Model. Single-speed reduction gearbox and electric motor matching calculation.. Role: Automotive & EV Engineer.,"[""CATIA"", ""MATLAB"", ""SolidWorks"", ""Vehicle Dynamics""]",[],"[""CATIA"", ""MATLAB"", ""SolidWorks"", ""Vehicle Dynamics""]",4
proj_0073,Industrial Effluent Membrane Filtration,Industrial Effluent Membrane Filtration. Reverse osmosis wastewater treatment plant for textile dyes.. Role: Process Engineer.,"[""Chemical Reaction Engineering"", ""Heat Transfer"", ""MATLAB""]",[],"[""Chemical Reaction Engineering"", ""Heat Transfer"", ""MATLAB""]",3
proj_0074,Green Hydrogen Electrolyzer Array,Green Hydrogen Electrolyzer Array. Proton exchange membrane stack layout and heat exchange unit.. Role: Process Engineer.,"[""Process Engineering"", ""Thermodynamics""]",[],"[""Process Engineering"", ""Thermodynamics""]",2
proj_0075,Microbial Fuel Cell Yield Monitor,Microbial Fuel Cell Yield Monitor. Sensory rig tracking bio-electricity output from wastewater bacteria.. Role: Bioinformatics Researcher.,"[""Bioprocess Engineering"", ""Data Analysis"", ""Microbiology""]","[""Bioinformatics""]","[""Bioinformatics"", ""Bioprocess Engineering"", ""Data Analysis"", ""Microbiology""]",4
proj_0076,Recombinant Protein Expression Assay,Recombinant Protein Expression Assay. High-efficiency bacterial culture protocol for therapeutic enzymes.. Role: Bioinformatics Researcher.,"[""CRISPR"", ""Molecular Biology""]","[""Bioinformatics""]","[""Bioinformatics"", ""CRISPR"", ""Molecular Biology""]",3
proj_0077,CRISPR Off-Target Predictive Tool,CRISPR Off-Target Predictive Tool. Bioinformatics sequence parser identifying non-specific gene edits.. Role: Bioinformatics Researcher.,"[""Bioinformatics"", ""Genomics"", ""Python"", ""R""]","[""Bioinformatics"", ""CRISPR""]","[""Bioinformatics"", ""CRISPR"", ""Genomics"", ""Python"", ""R""]",5
proj_0078,Microbial Fuel Cell Yield Monitor,Microbial Fuel Cell Yield Monitor. Sensory rig tracking bio-electricity output from wastewater bacteria.. Role: Bioinformatics Researcher.,"[""Bioprocess Engineering"", ""Data Analysis"", ""Microbiology""]","[""Bioinformatics""]","[""Bioinformatics"", ""Bioprocess Engineering"", ""Data Analysis"", ""Microbiology""]",4
proj_0079,Recombinant Protein Expression Assay,Recombinant Protein Expression Assay. High-efficiency bacterial culture protocol for therapeutic enzymes.. Role: Bioinformatics Researcher.,"[""CRISPR"", ""Molecular Biology""]","[""Bioinformatics""]","[""Bioinformatics"", ""CRISPR"", ""Molecular Biology""]",3
proj_0080,Non-Invasive Glucose Biosensor,Non-Invasive Glucose Biosensor. Optical near-infrared spectrophotometer measuring interstitial blood glucose.. Role: Medical AI Specialist.,"[""Biomedical Instrumentation"", ""MATLAB"", ""Medical AI"", ""Medical Image Processing""]","[""Medical AI""]","[""Biomedical Instrumentation"", ""MATLAB"", ""Medical AI"", ""Medical Image Processing""]",4
proj_0081,Prosthetic Myoelectric Hand Controller,Prosthetic Myoelectric Hand Controller. Surface EMG pattern recognition decoding hand gesture intent.. Role: Medical AI Specialist.,"[""LabVIEW"", ""Sensor Design"", ""Signal Processing""]","[""Medical AI""]","[""LabVIEW"", ""Medical AI"", ""Sensor Design"", ""Signal Processing""]",4
proj_0082,Smart ICU Patient Vital Predictor,Smart ICU Patient Vital Predictor. Predictive alert system flagging onset of septic shock.. Role: Medical AI Specialist.,"[""Biomedical Instrumentation"", ""Medical AI"", ""Python""]","[""Medical AI""]","[""Biomedical Instrumentation"", ""Medical AI"", ""Python""]",3
proj_0083,Hydroponic Nutrient Auto-Doser,Hydroponic Nutrient Auto-Doser. Closed-loop EC and pH control unit for greenhouse verti-farming.. Role: AgriTech Specialist.,"[""AgriTech"", ""Arduino"", ""IOT Sensors""]","[""AgriTech""]","[""AgriTech"", ""Arduino"", ""IOT Sensors""]",3
proj_0084,Solar Powered Drip Irrigation Router,Solar Powered Drip Irrigation Router. Soil moisture driven automated solenoid network for arid farms.. Role: AgriTech Specialist.,"[""AgriTech"", ""AutoCAD"", ""IOT Sensors""]","[""AgriTech""]","[""AgriTech"", ""AutoCAD"", ""IOT Sensors""]",3
proj_0085,Autonomous Crop Health Mapping Drone,Autonomous Crop Health Mapping Drone. Multispectral aerial imaging drone detecting nitrogen stress in crops.. Role: AgriTech Specialist.,"[""Drone Surveying"", ""GIS"", ""Precision Agriculture"", ""Python""]","[""AgriTech""]","[""AgriTech"", ""Drone Surveying"", ""GIS"", ""Precision Agriculture"", ""Python""]",5
